,name,gas-name,gas-CriticalTemp,gas-CriticalPressure,gas-AcentricFactor,gas-MolecularWeight,gas-MeltPoint,gas-BoilingPoint,temperature,pressure
231,AMALND_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
232,AMEJOS_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
233,AMIKOX_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
234,AMILOY_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
235,AMILUE_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
236,AMIMAL_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
237,AMIMEP_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
238,AMIWID_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
239,AMIWOJ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
240,AMIWUP_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
241,AMIXAW_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
242,AMIXEA_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
243,AMIZIG_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
244,AMODUC_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
245,AMOFAK_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
246,AMOYOR_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
247,AMOZAE_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
248,AMUFAR_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
249,AMUFEV_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
250,AMUFIZ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
251,AMUFOF_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
252,AMUPOP_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
253,AMUWIP_charged,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
254,AMUWUB_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
